Distrito,Provincia,Departamento
Chachapoyas,Chachapoyas,Amazonas
Asuncion,Chachapoyas,Amazonas
Balsas,Chachapoyas,Amazonas
Cheto,Chachapoyas,Amazonas
Chiliquin,Chachapoyas,Amazonas
Chuquibamba,Chachapoyas,Amazonas
Granada,Chachapoyas,Amazonas
Huancas,Chachapoyas,Amazonas
La Jalca,Chachapoyas,Amazonas
Leimebamba,Chachapoyas,Amazonas
Levanto,Chachapoyas,Amazonas
Magdalena,Chachapoyas,Amazonas
Mariscal Castilla,Chachapoyas,Amazonas
Molinopampa,Chachapoyas,Amazonas
Montevideo,Chachapoyas,Amazonas
Olleros,Chachapoyas,Amazonas
Quinjalca,Chachapoyas,Amazonas
San Francisco de Daguas,Chachapoyas,Amazonas
San Isidro de Maino,Chachapoyas,Amazonas
Soloco,Chachapoyas,Amazonas
Sonche,Chachapoyas,Amazonas
Bagua,Bagua,Amazonas
Aramango,Bagua,Amazonas
Copallin,Bagua,Amazonas
El Parco,Bagua,Amazonas
Imaza,Bagua,Amazonas
La Peca,Bagua,Amazonas
Jumbilla,Bongara,Amazonas
Chisquilla,Bongara,Amazonas
Churuja,Bongara,Amazonas
Corosha,Bongara,Amazonas
Cuispes,Bongara,Amazonas
Florida,Bongara,Amazonas
Jazan,Bongara,Amazonas
Recta,Bongara,Amazonas
San Carlos,Bongara,Amazonas
Shipasbamba,Bongara,Amazonas
Valera,Bongara,Amazonas
Yambrasbamba,Bongara,Amazonas
Nieva,Condorcanqui,Amazonas
El Cenepa,Condorcanqui,Amazonas
Rio Santiago,Condorcanqui,Amazonas
Lamud,Luya,Amazonas
Camporredondo,Luya,Amazonas
Cocabamba,Luya,Amazonas
Colcamar,Luya,Amazonas
Conila,Luya,Amazonas
Inguilpata,Luya,Amazonas
Longuita,Luya,Amazonas
Lonya Chico,Luya,Amazonas
Luya,Luya,Amazonas
Luya Viejo,Luya,Amazonas
Maria,Luya,Amazonas
Ocalli,Luya,Amazonas
Ocumal,Luya,Amazonas
Pisuquia,Luya,Amazonas
Providencia,Luya,Amazonas
San Cristobal,Luya,Amazonas
San Francisco del Yeso,Luya,Amazonas
San Jeronimo,Luya,Amazonas
San Juan de Lopecancha,Luya,Amazonas
Santa Catalina,Luya,Amazonas
Santo Tomas,Luya,Amazonas
Tingo,Luya,Amazonas
Trita,Luya,Amazonas
San Nicolas,Rodriguez de Mendoza,Amazonas
Chirimoto,Rodriguez de Mendoza,Amazonas
Cochamal,Rodriguez de Mendoza,Amazonas
Huambo,Rodriguez de Mendoza,Amazonas
Limabamba,Rodriguez de Mendoza,Amazonas
Longar,Rodriguez de Mendoza,Amazonas
Mariscal Benavides,Rodriguez de Mendoza,Amazonas
Milpuc,Rodriguez de Mendoza,Amazonas
Omia,Rodriguez de Mendoza,Amazonas
Santa Rosa,Rodriguez de Mendoza,Amazonas
